id,description
1,"101 - Yellow Iron Man is a fictional superhero appearing in American comic books published by Marvel Comics. The character was co-created by writer and editor Stan Lee developed by scripter Larry Lieber and designed by artists Don Heck and Jack Kirby. The character made his first appearance in Tales of Suspense #39 and received his own title in Iron Man #1. A wealthy American business magnate playboy and ingenious scientist Anthony Edward Tony Stark suffers a severe chest injury during a kidnapping. When his captors attempt to force him to build a weapon of mass destruction he instead creates a mechanized suit of armor to save his life and escape captivity. Later Stark develops his suit adding weapons and other technological devices he designed through his company Stark Industries. He uses the suit and successive versions to protect the world as Iron Man. Although at first concealing his true identity Stark eventually publicly reveals himself to be Iron Man. Publisher:Marvel Comics"
2,"102 - Red Iron Man is a fictional superhero appearing in American comic books published by Marvel Comics. The character was co-created by writer and editor Stan Lee developed by scripter Larry Lieber and designed by artists Don Heck and Jack Kirby. The character made his first appearance in Tales of Suspense #39 and received his own title in Iron Man #1. A wealthy American business magnate playboy and ingenious scientist Anthony Edward Tony Stark suffers a severe chest injury during a kidnapping. When his captors attempt to force him to build a weapon of mass destruction he instead creates a mechanized suit of armor to save his life and escape captivity. Later Stark develops his suit adding weapons and other technological devices he designed through his company Stark Industries. He uses the suit and successive versions to protect the world as Iron Man. Although at first concealing his true identity Stark eventually publicly reveals himself to be Iron Man. Publisher:Marvel Comics"
3,"103 - {color3} Iron Man is a fictional superhero appearing in American comic books published by Marvel Comics. The character was co-created by writer and editor Stan Lee developed by scripter Larry Lieber and designed by artists Don Heck and Jack Kirby. The character made his first appearance in Tales of Suspense #39 and received his own title in Iron Man #1. A wealthy American business magnate playboy and ingenious scientist Anthony Edward Tony Stark suffers a severe chest injury during a kidnapping. When his captors attempt to force him to build a weapon of mass destruction he instead creates a mechanized suit of armor to save his life and escape captivity. Later Stark develops his suit adding weapons and other technological devices he designed through his company Stark Industries. He uses the suit and successive versions to protect the world as Iron Man. Although at first concealing his true identity Stark eventually publicly reveals himself to be Iron Man. Publisher:Marvel Comics"
4,"104 - {color4} Iron Man is a fictional superhero appearing in American comic books published by Marvel Comics. The character was co-created by writer and editor Stan Lee developed by scripter Larry Lieber and designed by artists Don Heck and Jack Kirby. The character made his first appearance in Tales of Suspense #39 and received his own title in Iron Man #1. A wealthy American business magnate playboy and ingenious scientist Anthony Edward Tony Stark suffers a severe chest injury during a kidnapping. When his captors attempt to force him to build a weapon of mass destruction he instead creates a mechanized suit of armor to save his life and escape captivity. Later Stark develops his suit adding weapons and other technological devices he designed through his company Stark Industries. He uses the suit and successive versions to protect the world as Iron Man. Although at first concealing his true identity Stark eventually publicly reveals himself to be Iron Man. Publisher:Marvel Comics"
5,"111 - Yellow Captain America is a fictional superhero appearing in American comic books published by Marvel Comics. Created by cartoonists Joe Simon and Jack Kirby the character first appeared in Captain America Comics #1 from Timely Comics a predecessor of Marvel Comics. Captain America was designed as a patriotic supersoldier who often fought the Axis powers of World War II and was Timely Comics' most popular character during the wartime period. The popularity of superheroes waned following the war and the Captain America comic book was discontinued in 1950 with a short-lived revival in 1953. Since Marvel Comics revived the character in 1964 Captain America has remained in publication. The character wears a costume bearing an American flag motif and he utilizes a nearly indestructible shield that he throws as a projectile.Publisher:Marvel Comics"
6,"112 - Red Captain America is a fictional superhero appearing in American comic books published by Marvel Comics. Created by cartoonists Joe Simon and Jack Kirby the character first appeared in Captain America Comics #1 from Timely Comics a predecessor of Marvel Comics. Captain America was designed as a patriotic supersoldier who often fought the Axis powers of World War II and was Timely Comics' most popular character during the wartime period. The popularity of superheroes waned following the war and the Captain America comic book was discontinued in 1950 with a short-lived revival in 1953. Since Marvel Comics revived the character in 1964 Captain America has remained in publication. The character wears a costume bearing an American flag motif and he utilizes a nearly indestructible shield that he throws as a projectile.Publisher:Marvel Comics"
7,"113 - Blue Captain America is a fictional superhero appearing in American comic books published by Marvel Comics. Created by cartoonists Joe Simon and Jack Kirby the character first appeared in Captain America Comics #1 from Timely Comics a predecessor of Marvel Comics. Captain America was designed as a patriotic supersoldier who often fought the Axis powers of World War II and was Timely Comics' most popular character during the wartime period. The popularity of superheroes waned following the war and the Captain America comic book was discontinued in 1950 with a short-lived revival in 1953. Since Marvel Comics revived the character in 1964 Captain America has remained in publication. The character wears a costume bearing an American flag motif and he utilizes a nearly indestructible shield that he throws as a projectile.Publisher:Marvel Comics"
8,"114 - Green Captain America is a fictional superhero appearing in American comic books published by Marvel Comics. Created by cartoonists Joe Simon and Jack Kirby the character first appeared in Captain America Comics #1 from Timely Comics a predecessor of Marvel Comics. Captain America was designed as a patriotic supersoldier who often fought the Axis powers of World War II and was Timely Comics' most popular character during the wartime period. The popularity of superheroes waned following the war and the Captain America comic book was discontinued in 1950 with a short-lived revival in 1953. Since Marvel Comics revived the character in 1964 Captain America has remained in publication. The character wears a costume bearing an American flag motif and he utilizes a nearly indestructible shield that he throws as a projectile.Publisher:Marvel Comics"
9,"121 - Yellow Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in All Star Comics #8 in October 1941 with her first feature in Sensation Comics #1 in January 1942. The Wonder Woman title has been published by DC Comics almost continuously except for a brief hiatus in 1986. In her homeland the island nation of Themyscira her official title is Princess Diana of Themyscira. When blending into the society outside of her homeland she sometimes adopts her civilian identity Diana Prince. Wonder Woman was created by the American psychologist and writer William Moulton Marston and artist Harry G. Peter. Marston's wife Elizabeth and their life partner Olive Byrne are credited as being his inspiration for the character's appearance.Publisher:DC Comics"
10,"122 - Red Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in All Star Comics #8 in October 1941 with her first feature in Sensation Comics #1 in January 1942. The Wonder Woman title has been published by DC Comics almost continuously except for a brief hiatus in 1986. In her homeland the island nation of Themyscira her official title is Princess Diana of Themyscira. When blending into the society outside of her homeland she sometimes adopts her civilian identity Diana Prince. Wonder Woman was created by the American psychologist and writer William Moulton Marston and artist Harry G. Peter. Marston's wife Elizabeth and their life partner Olive Byrne are credited as being his inspiration for the character's appearance.Publisher:DC Comics."
11,"123 - Blue Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in All Star Comics #8 in October 1941 with her first feature in Sensation Comics #1 in January 1942. The Wonder Woman title has been published by DC Comics almost continuously except for a brief hiatus in 1986. In her homeland the island nation of Themyscira her official title is Princess Diana of Themyscira. When blending into the society outside of her homeland she sometimes adopts her civilian identity Diana Prince. Wonder Woman was created by the American psychologist and writer William Moulton Marston and artist Harry G. Peter. Marston's wife Elizabeth and their life partner Olive Byrne are credited as being his inspiration for the character's appearance.Publisher:DC Comics."
12,"124 - Green Wonder Woman is a fictional superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in All Star Comics #8 in October 1941 with her first feature in Sensation Comics #1 in January 1942. The Wonder Woman title has been published by DC Comics almost continuously except for a brief hiatus in 1986. In her homeland the island nation of Themyscira her official title is Princess Diana of Themyscira. When blending into the society outside of her homeland she sometimes adopts her civilian identity Diana Prince. Wonder Woman was created by the American psychologist and writer William Moulton Marston and artist Harry G. Peter. Marston's wife Elizabeth and their life partner Olive Byrne are credited as being his inspiration for the character's appearance.Publisher:DC Comics."
13,"131 - Yellow Superman is a fictional superhero. The character was created by writer Jerry Siegel and artist Joe Shuster and first appeared in Action Comics #1 a comic book published on April 18 1938. The character regularly appears in comic books published by DC Comics and has been adapted to a number of radio serials movies and television shows. Superman was born on the planet Krypton and was given the name Kal-El at birth. As a baby his parents sent him to Earth in a small spaceship moments before Krypton was destroyed in a natural cataclysm. His ship landed in the American countryside near the fictional town of Smallville. He was found and adopted by farmers Jonathan and Martha Kent who named him Clark Kent. Clark developed various superhuman abilities such as incredible strength and impervious skin. His foster parents advised him to use his abilities for the benefit of humanity and he decided to fight crime as a vigilante.Publisher:DC Comics"
14,"132 - Red Superman is a fictional superhero. The character was created by writer Jerry Siegel and artist Joe Shuster and first appeared in Action Comics #1 a comic book published on April 18 1938. The character regularly appears in comic books published by DC Comics and has been adapted to a number of radio serials movies and television shows. Superman was born on the planet Krypton and was given the name Kal-El at birth. As a baby his parents sent him to Earth in a small spaceship moments before Krypton was destroyed in a natural cataclysm. His ship landed in the American countryside near the fictional town of Smallville. He was found and adopted by farmers Jonathan and Martha Kent who named him Clark Kent. Clark developed various superhuman abilities such as incredible strength and impervious skin. His foster parents advised him to use his abilities for the benefit of humanity and he decided to fight crime as a vigilante.Publisher:DC Comics"
15,"133 - Blue Superman is a fictional superhero. The character was created by writer Jerry Siegel and artist Joe Shuster and first appeared in Action Comics #1 a comic book published on April 18 1938. The character regularly appears in comic books published by DC Comics and has been adapted to a number of radio serials movies and television shows. Superman was born on the planet Krypton and was given the name Kal-El at birth. As a baby his parents sent him to Earth in a small spaceship moments before Krypton was destroyed in a natural cataclysm. His ship landed in the American countryside near the fictional town of Smallville. He was found and adopted by farmers Jonathan and Martha Kent who named him Clark Kent. Clark developed various superhuman abilities such as incredible strength and impervious skin. His foster parents advised him to use his abilities for the benefit of humanity and he decided to fight crime as a vigilante.Publisher:DC Comics"
16,"134 - Green Superman is a fictional superhero. The character was created by writer Jerry Siegel and artist Joe Shuster and first appeared in Action Comics #1 a comic book published on April 18 1938. The character regularly appears in comic books published by DC Comics and has been adapted to a number of radio serials movies and television shows. Superman was born on the planet Krypton and was given the name Kal-El at birth. As a baby his parents sent him to Earth in a small spaceship moments before Krypton was destroyed in a natural cataclysm. His ship landed in the American countryside near the fictional town of Smallville. He was found and adopted by farmers Jonathan and Martha Kent who named him Clark Kent. Clark developed various superhuman abilities such as incredible strength and impervious skin. His foster parents advised him to use his abilities for the benefit of humanity and he decided to fight crime as a vigilante.Publisher:DC Comics"
17,"201 - Yellow Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss for HBO. It is an adaptation of A Song of Ice and Fire George R. R. Martin's series of fantasy novels the first of which is A Game of Thrones. The show was both produced and filmed in Belfast and elsewhere in the United Kingdom. Filming locations also included Canada Croatia Iceland Malta Morocco and Spain. The series premiered on HBO in the United States on April 17 2011 and concluded on May 19 2019 with 73 episodes broadcast over eight seasons. Set on the fictional continents of Westeros and Essos Game of Thrones has a large ensemble cast and follows several story arcs. One arc is about the Iron Throne of the Seven Kingdoms of Westeros and follows a web of alliances and conflicts among the noble dynasties either vying to claim the throne or fighting for independence from it.Genre:Fantasy Serial drama Tragedy"
18,"202 - Red Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss for HBO. It is an adaptation of A Song of Ice and Fire George R. R. Martin's series of fantasy novels the first of which is A Game of Thrones. The show was both produced and filmed in Belfast and elsewhere in the United Kingdom. Filming locations also included Canada Croatia Iceland Malta Morocco and Spain. The series premiered on HBO in the United States on April 17 2011 and concluded on May 19 2019 with 73 episodes broadcast over eight seasons. Set on the fictional continents of Westeros and Essos Game of Thrones has a large ensemble cast and follows several story arcs. One arc is about the Iron Throne of the Seven Kingdoms of Westeros and follows a web of alliances and conflicts among the noble dynasties either vying to claim the throne or fighting for independence from it.Genre:Fantasy Serial drama Tragedy"
19,"203 - Blue Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss for HBO. It is an adaptation of A Song of Ice and Fire George R. R. Martin's series of fantasy novels the first of which is A Game of Thrones. The show was both produced and filmed in Belfast and elsewhere in the United Kingdom. Filming locations also included Canada Croatia Iceland Malta Morocco and Spain. The series premiered on HBO in the United States on April 17 2011 and concluded on May 19 2019 with 73 episodes broadcast over eight seasons. Set on the fictional continents of Westeros and Essos Game of Thrones has a large ensemble cast and follows several story arcs. One arc is about the Iron Throne of the Seven Kingdoms of Westeros and follows a web of alliances and conflicts among the noble dynasties either vying to claim the throne or fighting for independence from it.Genre:Fantasy Serial drama Tragedy"
20,"204 - Green Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss for HBO. It is an adaptation of A Song of Ice and Fire George R. R. Martin's series of fantasy novels the first of which is A Game of Thrones. The show was both produced and filmed in Belfast and elsewhere in the United Kingdom. Filming locations also included Canada Croatia Iceland Malta Morocco and Spain. The series premiered on HBO in the United States on April 17 2011 and concluded on May 19 2019 with 73 episodes broadcast over eight seasons. Set on the fictional continents of Westeros and Essos Game of Thrones has a large ensemble cast and follows several story arcs. One arc is about the Iron Throne of the Seven Kingdoms of Westeros and follows a web of alliances and conflicts among the noble dynasties either vying to claim the throne or fighting for independence from it.Genre:Fantasy Serial drama Tragedy"
